Date,Open,High,Low,Close,Volume,Adj Close
03/08/10,2326.25,2335.43,2326.11,2332.21,2312310000,2332.21
03/05/10,2304.01,2327.03,2301.1,2326.35,2411880000,2326.35
03/04/10,2282.57,2293.16,2273.63,2292.31,2186020000,2292.31
03/03/10,2284.82,2293.32,2275.25,2280.68,2603510000,2280.68
03/02/10,2279.07,2292.49,2275.35,2280.79,2831870000,2280.79
03/01/10,2247.4,2274.02,2247.33,2273.57,2504940000,2273.57
02/26/10,2234.44,2242.83,2222.23,2238.26,2283430000,2238.26
02/25/10,2208.62,2236.21,2198.73,2234.22,2300530000,2234.22
02/24/10,2222.4,2241.69,2221.28,2235.9,2155810000,2235.9
02/23/10,2238.01,2239.8,2205.7,2213.44,2310910000,2213.44
02/22/10,2250.92,2251.68,2235.65,2242.03,1976290000,2242.03
02/19/10,2233.33,2249.8,2228.93,2243.87,2166660000,2243.87
02/18/10,2223.22,2243.5,2221.14,2241.71,2076820000,2241.71
02/17/10,2222.87,2226.32,2212.78,2226.29,2103530000,2226.29
02/16/10,2200.38,2214.19,2189.18,2214.19,2072850000,2214.19
02/12/10,2157.69,2184.57,2151.99,2183.53,2236180000,2183.53
02/11/10,2145.09,2179.54,2134.14,2177.41,2141260000,2177.41
02/10/10,2147.46,2156.36,2131.08,2147.87,2059940000,2147.87
02/09/10,2153.1,2166.16,2132.58,2150.87,2296420000,2150.87
02/08/10,2140.1,2152.64,2125.11,2126.05,2036280000,2126.05
02/05/10,2131.92,2142.27,2100.17,2141.12,2811100000,2141.12
02/04/10,2176.39,2178.25,2125.43,2125.43,2801390000,2125.43
02/03/10,2181.01,2194.53,2176.75,2190.91,2303350000,2190.91
02/02/10,2171.66,2193.66,2161.47,2190.06,2468470000,2190.06
02/01/10,2155.81,2171.2,2152.26,2171.2,2234140000,2171.2
01/29/10,2198.26,2202.84,2140.34,2147.35,3090580000,2147.35
01/28/10,2220.31,2220.87,2166.9,2179,2829640000,2179
01/27/10,2200.3,2225.67,2192.59,2221.41,2492880000,2221.41
01/26/10,2203.44,2227.89,2195.44,2203.73,2361260000,2203.73
01/25/10,2220.29,2223.22,2201.17,2210.8,2134350000,2210.8
01/22/10,2255.76,2262.27,2200.37,2205.29,2817620000,2205.29
01/21/10,2298.23,2308.98,2259.82,2265.7,2877800000,2265.7
01/20/10,2304.31,2304.47,2268.68,2291.25,2351890000,2291.25
01/19/10,2291.02,2320.4,2290.68,2320.4,2045290000,2320.4
01/15/10,2316.98,2322.54,2279.2,2287.99,2637770000,2287.99
01/14/10,2303.31,2322.56,2303.29,2316.74,2254170000,2316.74
01/13/10,2289.46,2313.03,2274.12,2307.9,2318350000,2307.9
01/12/10,2297.28,2298.85,2272.7,2282.31,2368320000,2282.31
01/11/10,2324.78,2326.28,2302.21,2312.41,2077890000,2312.41
01/08/10,2292.24,2317.6,2290.61,2317.17,2145390000,2317.17
01/07/10,2298.09,2301.3,2285.22,2300.05,2270050000,2300.05
01/06/10,2307.71,2314.07,2295.68,2301.09,2253340000,2301.09
01/05/10,2307.27,2313.73,2295.62,2308.71,2367860000,2308.71
01/04/10,2294.41,2311.15,2294.41,2308.42,1931380000,2308.42
12/31/09,2292.92,2293.59,2269.11,2269.15,1237820000,2269.15
12/30/09,2284.56,2293.02,2280.16,2291.28,1312670000,2291.28
12/29/09,2293.94,2294.75,2286.57,2288.4,1177710000,2288.4
12/28/09,2290.04,2295.8,2280.56,2291.08,1232130000,2291.08
12/24/09,2273.95,2285.89,2273.4,2285.69,632650000,2285.69
12/23/09,2257.21,2271.33,2253.67,2269.64,1582900000,2269.64
12/22/09,2242.61,2253.73,2241.33,2252.67,1724200000,2252.67
12/21/09,2224.04,2242.22,2224.04,2237.66,1808830000,2237.66
12/18/09,2197.57,2213.18,2190.69,2211.69,2848410000,2211.69
12/17/09,2193.5,2198.51,2178.05,2180.05,1904840000,2180.05
12/16/09,2210.35,2220.46,2203.33,2206.91,2022440000,2206.91
12/15/09,2203.54,2217.63,2197.76,2201.05,1946960000,2201.05
12/14/09,2202.31,2212.56,2193.2,2212.1,1841890000,2212.1
12/11/09,2200.96,2202.4,2179.51,2190.31,1754430000,2190.31
12/10/09,2194.9,2202.84,2187.08,2190.86,1946370000,2190.86
