Date,Adj Close,Date,Adj Close,End Date,SEK/GBP,SEK/EUR
"Jul 11, 2011",196.60,"Jul 11, 2011",10.38,"Jul 11, 2011",0.0976,0.1098
"Jul 8, 2011",201.50,"Jul 8, 2011",10.57,"Jul 8, 2011",0.0986,0.1101
"Jul 7, 2011",203.40,"Jul 7, 2011",10.67,"Jul 7, 2011",0.0988,0.1101
"Jul 6, 2011",202.70,"Jul 6, 2011",10.56,"Jul 6, 2011",0.0992,0.1102
"Jul 5, 2011",204.10,"Jul 5, 2011",10.63,"Jul 5, 2011",0.0993,0.1100
"Jul 4, 2011",200.50,"Jul 4, 2011",10.69,"Jul 4, 2011",0.0996,0.1099
"Jul 1, 2011",199.90,"Jul 1, 2011",10.69,"Jul 1, 2011",0.0985,0.1092
"Jun 30, 2011",201.50,"Jun 30, 2011",10.81,"Jun 30, 2011",0.0986,0.1085
"Jun 29, 2011",198.60,"Jun 29, 2011",10.58,"Jun 29, 2011",0.0971,0.1084
"Jun 28, 2011",195.75,"Jun 28, 2011",10.41,"Jun 28, 2011",0.0975,0.1086
"Jun 27, 2011",197.90,"Jun 27, 2011",10.46,"Jun 27, 2011",0.0962,0.1085
"Jun 24, 2011",197.10,"Jun 24, 2011",10.38,"Jun 24, 2011",0.0972,0.1091
"Jun 23, 2011",198.50,"Jun 23, 2011",10.59,"Jun 23, 2011",0.0972,0.1093
"Jun 22, 2011",200.90,"Jun 22, 2011",10.67,"Jun 22, 2011",0.0966,0.1092
"Jun 21, 2011",198.60,"Jun 21, 2011",10.61,"Jun 21, 2011",0.0962,0.1090
"Jun 20, 2011",195.70,"Jun 20, 2011",10.51,"Jun 20, 2011",0.0964,0.1090
"Jun 17, 2011",195.00,"Jun 17, 2011",10.48,"Jun 17, 2011",0.0954,0.1089
"Jun 16, 2011",195.90,"Jun 16, 2011",10.40,"Jun 16, 2011",0.0960,0.1092
"Jun 15, 2011",197.40,"Jun 15, 2011",10.35,"Jun 15, 2011",0.0966,0.1096
"Jun 14, 2011",200.40,"Jun 14, 2011",10.57,"Jun 14, 2011",0.0969,0.1098
"Jun 13, 2011",195.30,"Jun 13, 2011",10.27,"Jun 13, 2011",0.0974,0.1102
"Jun 10, 2011",193.90,"Jun 10, 2011",10.14,"Jun 10, 2011",0.0979,0.1107
"Jun 9, 2011",197.00,"Jun 9, 2011",10.15,"Jun 9, 2011",0.0992,0.1108
"Jun 8, 2011",195.60,"Jun 8, 2011",10.03,"Jun 8, 2011",0.0990,0.1109
"Jun 7, 2011",198.20,"Jun 7, 2011",10.09,"Jun 7, 2011",0.0991,0.1112
"Jun 6, 2011",197.20,"Jun 6, 2011",10.01,"Jun 6, 2011",0.0993,0.1115
"Jun 3, 2011",198.00,"Jun 3, 2011",10.03,"Jun 3, 2011",0.0982,0.1114
"Jun 2, 2011",199.50,"Jun 2, 2011",10.04,"Jun 2, 2011",0.0985,0.1124
"Jun 1, 2011",201.70,"Jun 1, 2011",10.22,"Jun 1, 2011",0.0981,0.1125
"May 31, 2011",200.80,"May 31, 2011",10.33,"May 31, 2011",0.0975,0.1125
"May 27, 2011",198.00,"May 27, 2011",10.14,"May 27, 2011",0.0972,0.1123
"May 26, 2011",196.00,"May 26, 2011",10.16,"May 26, 2011",0.0972,0.1120
"May 25, 2011",196.90,"May 25, 2011",10.29,"May 25, 2011",0.0976,0.1120
"May 24, 2011",196.60,"May 24, 2011",10.31,"May 24, 2011",0.0974,0.1120
"May 23, 2011",194.90,"May 23, 2011",10.41,"May 23, 2011",0.0977,0.1120
"May 20, 2011",198.40,"May 20, 2011",10.51,"May 20, 2011",0.0984,0.1116
"May 19, 2011",196.40,"May 19, 2011",10.61,"May 19, 2011",0.0979,0.1113
"May 18, 2011",195.70,"May 18, 2011",10.53,"May 18, 2011",0.0971,0.1112
"May 17, 2011",194.80,"May 17, 2011",10.36,"May 17, 2011",0.0969,0.1111
"May 16, 2011",194.00,"May 16, 2011",10.47,"May 16, 2011",0.0966,0.1109
"May 13, 2011",196.10,"May 13, 2011",10.49,"May 13, 2011",0.0970,0.1114
"May 12, 2011",199.00,"May 12, 2011",10.62,"May 12, 2011",0.0964,0.1116
"May 11, 2011",201.90,"May 11, 2011",10.59,"May 11, 2011",0.0976,0.1115
"May 10, 2011",201.20,"May 10, 2011",10.53,"May 10, 2011",0.0975,0.1112
"May 9, 2011",197.00,"May 9, 2011",10.43,"May 9, 2011",0.0973,0.1107
"May 6, 2011",194.80,"May 6, 2011",10.54,"May 6, 2011",0.0991,0.1106
"May 5, 2011",194.90,"May 5, 2011",10.47,"May 5, 2011",0.0999,0.1111
"May 4, 2011",196.70,"May 4, 2011",10.57,"May 4, 2011",0.1001,0.1119
"May 3, 2011",194.30,"May 3, 2011",10.61,"May 3, 2011",0.0995,0.1120
"Apr 28, 2011",195.80,"Apr 28, 2011",10.49,"Apr 28, 2011",0.0995,0.1120
"Apr 27, 2011",193.20,"Apr 27, 2011",10.38,"Apr 27, 2011",0.0993,0.1122
"Apr 26, 2011",193.30,"Apr 26, 2011",10.54,"Apr 26, 2011",0.0995,0.1127
"Apr 21, 2011",189.00,"Apr 21, 2011",10.38,"Apr 21, 2011",0.0991,0.1123
"Apr 20, 2011",192.30,"Apr 20, 2011",10.54,"Apr 20, 2011",0.0980,0.1118
"Apr 19, 2011",188.70,"Apr 19, 2011",10.32,"Apr 19, 2011",0.0984,0.1119
"Apr 18, 2011",189.50,"Apr 18, 2011",10.42,"Apr 18, 2011",0.0990,0.1120
"Apr 15, 2011",192.00,"Apr 15, 2011",10.56,"Apr 15, 2011",0.0981,0.1109
"Apr 14, 2011",188.30,"Apr 14, 2011",10.39,"Apr 14, 2011",0.0981,0.1102
"Apr 13, 2011",189.10,"Apr 13, 2011",10.40,"Apr 13, 2011",0.0976,0.1101
"Apr 12, 2011",189.30,"Apr 12, 2011",10.34,"Apr 12, 2011",0.0982,0.1112
"Apr 11, 2011",190.80,"Apr 11, 2011",10.46,"Apr 11, 2011",0.0985,0.1113
"Apr 8, 2011",191.00,"Apr 8, 2011",10.38,"Apr 8, 2011",0.0970,0.1106
"Apr 7, 2011",189.30,"Apr 7, 2011",10.35,"Apr 7, 2011",0.0971,0.1110
"Apr 6, 2011",190.88,"Apr 6, 2011",10.37,"Apr 6, 2011",0.0974,0.1111
"Apr 5, 2011",190.40,"Apr 5, 2011",10.44,"Apr 5, 2011",0.0983,0.1115
